Gunung,M1,M2,M3,M4,M5,M6,M7,M8,M9,Min,Best Method,Max,Worst Method
Sangeangapi,0.79,0.99,1.03,0.43,0.42,0.42,0.43,0.36,0.49,0.36,Metode 8,1.03,Metode 3
Semeru,0.38,0.39,0.39,0.76,0.28,0.63,0.66,0.13,0.68,0.13,Metode 8,0.76,Metode 4
Seulawah Agam,1.03,0.15,0.58,0.76,0.16,2.01,0.32,0.41,0.72,0.15,Metode 2,2.01,Metode 6
Sinabung,2.13,2.26,1.09,0.11,0.57,1.02,0.86,0.76,1.05,0.11,Metode 4,2.26,Metode 2
Sirung,0.61,0.53,1.31,0.53,0.49,0.9,0.76,0.67,0.97,0.49,Metode 5,1.31,Metode 3
Slamet,0.7,0.21,0.21,0.67,0.22,0.2,0.32,0.22,0.32,0.2,Metode 6,0.7,Metode 1
Soputan,0.4,0.43,0.43,0.61,0.05,0.06,0.28,0.06,0.26,0.05,Metode 5,0.61,Metode 4
Sorikmarapi,0.26,0.12,0.92,0.86,0.13,0.14,0.05,0.16,0.12,0.05,Metode 7,0.92,Metode 3
Sumbing,0.62,0.33,0.33,0.62,0.33,0.46,0.29,0.35,0.3,0.29,Metode 7,0.62,Metode 1
Sundoro,0.87,0.26,0.26,0.22,0.34,0.47,0.44,0.25,0.41,0.22,Metode 4,0.87,Metode 1
Talang,0.26,0.23,0.84,1.0,0.34,0.3,0.12,0.33,0.12,0.12,Metode 7,1.0,Metode 4
Tambora,2.46,2.64,2.91,0.33,0.22,1.09,1.04,0.56,1.04,0.22,Metode 5,2.91,Metode 3
Tandikat,1.38,2.28,1.91,0.74,0.99,2.02,1.03,1.2,1.26,0.74,Metode 4,2.28,Metode 2
Tangkoko,0.32,0.43,0.09,0.56,0.09,0.08,0.21,0.1,0.23,0.08,Metode 6,0.56,Metode 4
Tangkuban Parahu,5.8,6.85,2.07,4.17,5.3,6.34,5.64,1.8,1.0,1.0,Metode 9,6.85,Metode 2
Wurlali,0.12,0.1,0.31,0.22,0.12,0.19,0.27,0.12,0.26,0.1,Metode 2,0.31,Metode 3
